name,steps,Euler_verfahren,verbessertes_Euler_verfahren,Heun_verfahren,2 Schritt AB Verfahren,3 Schritt AB Verfahren,4 Schritt AB Verfahren,5 Schritt AB Verfahren,mittelpunkt_verfahren,Euler_verfahren median Fehler,verbessertes_Euler_verfahren median Fehler,Heun_verfahren median Fehler,2 Schritt AB Verfahren median Fehler,3 Schritt AB Verfahren median Fehler,4 Schritt AB Verfahren median Fehler,5 Schritt AB Verfahren median Fehler,mittelpunkt_verfahren median Fehler,lsoda median Fehler
n_euler_function,12,12,24,36,23,32,39,44,12,-0.02235249297211528,0.0009594319229331849,0.0009594319229331849,-0.0010997814740291711,-0.007310728444468284,-0.00916805976399665,-0.012622221665108735,0.0,1.1214613793164574e-08
n_euler_function mit eingebautem Fehler,12,12,24,36,23,32,39,44,12,0.32270173067954844,0.3662568041270132,0.3662568041270132,0.26501324782780455,0.1912127381964982,0.1316839697688098,0.06740640327715364,0.05848344452788479,1.1214613793164574e-08
tang_func,12,12,24,36,23,32,39,44,12,0.05906854278198681,0.0049540959360674375,0.0,0.022475139689137946,0.01092676741422649,0.016180794251730468,0.026031471130126382,0.011784278852149499,-3.6026750938056296e-07
tang_func mit eingebautem Fehler,12,12,24,36,23,32,39,44,12,-0.3815499338334869,-0.4871077901669312,-0.497705807796899,-0.4294213566045082,-0.3888136115905996,-0.29220240963388067,-0.17879210929027511,-0.24557682004619275,-3.6026750938056296e-07
log_function,12,12,24,36,23,32,39,44,12,-0.02766082434118977,0.0004368801658566346,-0.0008751100554753588,-0.003310809997095321,-0.013682904113269445,-0.017425114133036268,-0.021606450474315753,-0.05427789846418374,0.0
log_function mit eingebautem Fehler,12,12,24,36,23,32,39,44,12,-0.2936336105688512,-0.25178922881646015,-0.25378697602977895,-0.2400252750987656,-0.22075335202184254,-0.18170476940075975,-0.13550919129059835,-0.19846754539791078,0.0
sin_func,12,12,24,36,23,32,39,44,12,-0.015881664007650786,-0.00044397755904124203,0.0008877816877355116,-0.004066858976726873,-0.0013679338100738292,-0.003813359475231759,-0.007027579830955255,-0.029984985876920223,-4.1549087725911704e-08
sin_func mit eingebautem Fehler,12,12,24,36,23,32,39,44,12,-0.31592747969972146,-0.2962238489517466,-0.29431458267094923,-0.2811026571562092,-0.24149987080559487,-0.19564504563466434,-0.14102788983235837,-0.18554245206398856,-4.1549087725911704e-08
banalt,12,12,24,36,23,32,39,44,12,0.09375,0.0,0.0,0.015625,0.03125,0.046875,0.0625,0.1875,-4.656624530419151e-10
banalt mit eingebautem Fehler,12,12,24,36,23,32,39,44,12,-0.027240937500000117,-0.15985298437500006,-0.15985298437500006,-0.1321723437500003,-0.10243281250000014,-0.0670781250000001,-0.02359375000000008,0.06518124999999997,-4.656624530419151e-10
